key,value
167621,29184
6556,194393
72097,64196
58513,36579
193061,26868
177392,194161
142964,22790
154794,110604
8331,7811
24561,57314
60990,132475
157815,6956
147127,52124
187700,170363
183848,142853
109974,57787
117757,154472
72926,1703
198916,41853
183013,110785
89194,72842
40758,56443
88236,26793
24312,99595
25353,94104
90165,158263
69342,11390
191294,120435
140568,32722
99230,20656
144714,76854
164794,162141
94800,151349
50407,184699
18233,12012
173346,59742
75861,20916
61024,26476
99647,72869
118858,166640
95638,42638
97040,93132
54921,175682
69986,183977
179187,169878
18717,159680
166455,44862
140021,191136
64175,42834
121178,99471
70765,167772
180397,146001
57570,179467
85008,14663
60043,8414
82694,105162
70186,17350
55307,148682
188196,82490
55738,171819
130870,103712
168519,120285
37452,69436
36603,64651
195294,147159
141289,68876
195825,153245
112311,152969
104700,94895
57493,36262
133569,129372
23831,198123
12351,28743
40066,164481
41938,178384
110666,156345
16653,100864
100039,156208
122696,138704
65906,145024
3009,178332
188932,30029
178706,140763
196838,69946
168024,89174
29242,76939
113971,41460
118940,850
189292,188659
69045,131225
199743,46832
133085,27894
163918,78235
167496,133080
159637,52143
40065,98019
199887,42349
141394,139029
149,157009
84975,128085
5105,29325
95153,80612
62770,15184
63143,148729
20645,22453
191865,127399
18143,199387
139645,32967
33657,172949
124592,144127
43287,69483
138326,159014
110923,55521
141373,197988
191347,180844
52730,186895
81714,104593
176078,170361
97889,114845
135679,118354
31720,64986
58903,16784
88627,5514
154221,145207
60323,154256
57728,1885
18610,185556
165439,15433
60015,17668
8234,86619
18574,134782
62391,73001
175368,127248
56160,141356
34684,189622
149695,151050
123907,63700
123987,106708
49914,24726
25409,172748
112997,92876
111038,107767
122427,191122
14200,176518
171299,169392
25799,15889
105544,190896
88946,28644
65183,50224
49862,140584
117601,36747
110593,48100
73018,121275
65485,19761
116164,144264
25666,13261
170955,141711
3868,24448
197542,61965
43597,106539
127307,126185
56032,105130
15370,43158
99345,565
102346,69521
119277,74776
110888,182607
191497,145691
173505,188326
127577,40579
49780,77780
57068,15331
151828,192869
142133,15979
196077,82209
14985,13144
153138,124987
131819,139231
41270,14910
133124,21000
48712,17962
155984,17815
177002,61657
105847,31427
149336,64543
151760,155849
10418,162367
21491,109897
172326,153006
148170,137044
82934,68358
53545,175564
187745,82361
62570,69629
103752,34308
176079,169214
78642,119858
82883,197096
19016,2441
120136,162833
147585,26209
19204,140937
55877,132614
69520,34722
91490,18033
64037,96869
74707,41352
114867,142401
184428,79303
160347,171435
138658,2050
175076,145385
78480,173903
27154,35203
69328,30258
28058,194620
145024,40749
71394,73860
158552,55215
188117,89884
53371,180223
166261,69201
132489,128065
65829,13316
24195,166273
111037,72530
11557,929
87439,34293
167015,68670
42357,194309
115824,144619
184986,112115
147038,2534
29327,19724
181146,39073
143023,9444
96787,152701
144841,38821
112666,33409
10965,80808
95591,10458
93797,55070
178799,65412
174832,26946
92714,146770
106529,162702
196471,40515
62059,42598
46413,108080
6497,47018
193085,87080
107928,175612
192690,65055
69941,41732
183835,28336
100281,10151
123388,58309
52316,120665
91660,80003
59662,58438
6203,173023
50627,104455
86051,73034
18198,73170
92050,168160
133537,104773
178131,140565
86808,7235
30236,68475
46810,152198
69590,10028
28417,156387
113918,90619
190983,82228
114398,158914
134066,30315
100976,151149
49828,66773
11635,185803
114309,443
136293,141151
180055,188594
194497,193210
175801,51651
95478,113062
18343,174125
86559,163356
82291,173903
32669,188679
78727,132939
81077,174821
107057,85506
105486,182769
77504,145335
33367,50289
110217,174307
99390,177554
196118,45620
161353,149187
78892,106450
143638,106
79658,75212
55098,112692
152039,159032
171627,84475
121893,115811
115909,177111
56020,134001
124042,192927
44483,172713
22228,74392
135122,174025
165921,162335
87867,24480
196906,61569
176369,81374
58888,52200
38627,6402
12114,64184
124554,160241
19091,119384
108643,165089
150908,50970
188310,182545
100657,129598
104766,63959
38684,171981
180256,1453
196860,27941
111449,57367
46107,182429
135779,121778
13164,146120
65325,31813
119658,34954
121803,175001
139233,146518
156094,83177
197984,116017
160603,188553
132324,111867
143621,116893
41722,194944
124433,117983
67945,197073
64812,167159
72695,136655
127034,164298
62716,71984
115309,20311
187051,74901
61471,71228
88040,83809
141597,21122
36273,39539
60623,100410
181914,40056
185183,56086
16837,108755
106849,86738
142242,122139
108992,16322
54220,110138
102099,153112
182327,5120
150913,99714
125037,1545
92211,78279
197518,102232
109843,141091
195956,192579
143165,158139
57812,127986
57520,71548
114251,127308
7608,101936
88114,175341
178032,105989
189839,43265
122523,33456
163120,140017
7069,103290
155161,147951
173801,7104
22006,168492
112358,35572
121031,47639
13181,68198
99379,85813
55485,119196
85680,88473
199551,99385
72943,197134
110510,66131
21471,123288
5081,196352
141405,13653
91740,58778
170431,17987
170853,10553
197717,8134
64823,52261
5342,162879
39946,62533
33088,124141
175494,29986
147841,57138
121905,183360
67172,96703
43984,158831
159186,196064
188313,30024
42930,81536
28337,151698
6731,81777
150941,177562
98384,103980
187436,51990
19922,155214
181040,164427
63661,26712
182764,79058
179374,157394
31733,148355
10766,91017
139655,112296
173413,97142
18076,132634
169749,89451
3316,110115
128503,27666
113645,94945
166614,120517
185416,40105
114160,46173
192360,136772
170513,70800
161457,141078
126745,121863
114183,191634
155313,70358
84490,64355
22718,73119
118175,63927
196732,121820
149382,159994
175161,99349
88184,7523
129579,85200
47668,127808
55605,93015
67725,89217
73310,156278
183811,72422
145697,2661
135430,50084
22442,63270
188763,106542
128077,145536
198748,62999
181039,124804
169319,186605
128665,117486
4520,24393
77132,58090
106011,181347
63780,80270
174053,152451
96736,124062
145089,139177
90113,111543
195542,144281
86714,92225
184249,118946
71019,80379
65903,60434
31629,189080
50484,82719
31340,194741
140473,199803
180922,48535
50211,56723
193620,126929
72482,189945
154556,199283
137530,156445
74186,26352
50886,77659
59633,94602
47039,79237
3708,185602
140020,33182
71909,11931
14293,145059
76581,182823
33103,167213
197339,128680
26892,3215
150487,74537
123049,125492
115466,89314
48329,13468
66185,125233
29907,17129
105043,128908
19420,151262
165005,179949
14053,39774
39111,147545
79648,22329
65061,31051
146295,109097
158942,156271
162114,59162
136989,99713
118099,116056
77949,154278
112415,80053
149062,162798
15789,159811
194009,26013
199946,54470
163975,55318
69375,173127
21282,41171
62879,45564
144701,19677
41034,701
107090,118096
180714,155664
123184,76351
8556,60680
75524,185324
74112,184283
119021,18659
180193,61190
69351,163855
154609,173325
51857,111447
30087,142753
58932,169773
39056,69633
37286,18719
15633,43495
80638,155987
196334,149214
75657,115121
32598,122866
180532,79715
183430,105515
71367,131195
141552,129445
114755,21087
156771,10449
113253,192553
84494,158259
65632,6780
23940,60011
176763,150784
153910,5438
176234,70650
151059,10546
198251,45925
123338,136043
170789,115927
72917,47576
153440,114264
166405,128902
23918,123210
91215,107046
87374,84163
175671,27420
42159,86456
107910,181842
129884,75554
173692,104976
199360,144204
9619,119229
23084,82448
66164,84744
30388,105952
134898,301
172401,142237
121104,108330
14209,49173
135905,94838
163219,198297
130676,163947
115878,199226
13529,53361
70007,143974
34344,75505
114849,183042
127064,31831
7567,165156
159612,62730
186065,41517
81461,144399
3584,144769
106952,24434
58903,29743
120965,30793
169793,40362
130646,187853
76509,133397
184919,71676
108918,126484
123789,63892
119743,144510
37917,100554
49967,157123
133232,195636
35784,18300
72416,108774
89096,133100
70037,672
74144,190329
78264,153862
152023,172999
128356,38953
117059,141185
126967,90472
87147,144681
199982,142456
98883,119365
84352,49454
182845,62601
149893,100393
61226,107682
11441,83408
195219,123987
184871,99937
101208,173982
170922,39873
129847,9704
33094,131672
154712,87030
26309,115423
26138,137874
119780,4023
189384,37789
107473,171646
40464,19615
123074,69474
88751,163383
181588,104197
170350,21054
86131,176778
139885,99617
83010,164311
188407,199072
127912,141824
9410,161863
17936,61543
165455,179411
75334,59634
195760,23692
113763,25806
199326,166133
184520,26347
116307,43611
181928,78503
7588,12056
85032,14711
76904,93969
98262,112901
38160,64014
139242,108016
148354,178729
47200,44560
45893,20701
159774,100281
162453,179079
63132,130460
152871,37517
60866,120887
167222,66578
120473,66932
174808,2463
121963,75400
177631,143287
41412,19362
115796,90587
154028,78421
167493,111230
180961,65561
119756,79199
52223,100845
126670,27958
62182,99972
149926,94098
150683,77561
183311,77392
5751,172550
103758,71953
2122,148354
179778,195210
12856,158965
195342,130214
75024,60324
159138,92358
57410,166885
49841,162762
65700,177671
198070,188987
172800,178482
35855,164691
25470,164484
169434,10334
80984,115559
8746,151931
95646,191983
34448,23627
77361,85647
195947,108921
46042,52637
34644,141402
95907,139159
131542,71441
43134,67363
126313,77369
195706,88792
30191,122770
19739,36898
197696,59143
177294,189849
176791,104179
146096,95885
23672,103435
3648,69326
140659,32398
119219,96622
176377,196348
176250,68724
153238,99883
167391,97379
28402,176904
61295,123594
6560,162410
147169,85984
159929,58030
169778,16571
166567,121704
183783,79217
170194,107032
30585,36641
11887,9754
79787,129138
30440,25478
61551,140914
35563,101881
118919,97258
175763,194809
182579,141608
109871,153967
194581,190473
40507,108759
171683,25957
128279,161389
106985,73332
8576,180952
97132,56955
116230,116574
61895,95075
26045,179746
96294,142728
169037,94024
15872,104369
72320,49757
32023,119201
24031,173740
55602,168218
167639,156538
5598,13258
87427,63850
33010,148000
53793,17985
145282,54305
153716,56610
61079,86129
38680,156233
743,72685
37929,34076
141614,65707
45743,28816
173292,6758
34551,3895
93911,62372
154364,84874
4136,45677
69564,13736
33228,194436
110352,137910
29792,195471
16661,124845
117512,94906
134542,155625
28587,118490
132078,58077
161246,11367
190642,172727
136695,79070
120073,168647
8165,15945
125562,105281
111745,179856
28301,128521
186751,116277
19265,21178
84439,159461
38884,17218
33080,72093
163661,165957
153449,143748
186686,85245
99851,156602
139082,77305
118938,132527
158709,112774
25999,183967
29992,171629
170633,144529
188963,56367
112740,118372
59898,108478
88848,118882
104524,109049
191263,24926
81932,111873
81926,174354
66817,98120
40013,180046
124326,17598
23914,22377
24439,113213
25313,195189
193670,97687
34108,145849
15723,153738
147216,147241
86414,175639
32042,107691
92693,174415
196682,110870
189021,13486
75400,157393
81906,92181
27158,151497
133015,55768
40561,172159
126403,58784
28368,91780
145821,96353
30116,199912
73024,150496
59286,112489
147053,162981
160844,176941
168479,145945
6882,159644
172446,181789
70109,7589
47294,71636
184208,199861
80998,89082
92018,1600
47554,37552
148457,172318
105063,18241
37191,194240
165982,8036
24053,195588
139062,56395
98617,110056
118920,89363
41263,97007
81693,189162
85035,148791
156296,22270
13791,40784
41264,197770
161962,13044
176676,21386
71330,116159
173523,111152
127313,159141
115879,108575
71609,56510
197903,134308
29836,90484
112699,29069
74251,177790
177861,155486
127567,138132
174884,80850
11905,57807
103615,157109
14360,2015
53588,79015
55373,35975
66982,75876
86015,31453
2026,130386
195825,112893
46057,33865
99669,139613
184463,60322
131140,146466
175124,92842
18894,104089
194521,11089
114352,4912
120521,20411
82066,150931
112534,150313
106017,185990
167809,109495
75894,30192
106176,5467
85136,45055
162037,120611
180777,94857
23102,114481
27751,63783
114209,154369
104975,137353
20616,103747
81336,195508
89001,58083
87311,44074
20022,133820
165996,29891
139094,133680
50830,91586
92038,190678
169199,38716
61936,26949
38389,67100
51713,45481
157915,40073
199285,199007
171837,19753
46437,164613
129529,121622
197773,147779
199197,151904
117677,178555
147978,168556
166539,163714
84727,164421
82873,39572
115281,17900
122924,115922
165513,79382
72004,155037
14725,92259
132995,19448
81371,121043
118466,9858
14913,96662
75255,20114
168995,23670
161220,155734
132924,100789
121297,152129
145310,193703
10753,117894
149856,170875
49345,84286
158598,124683
131430,39547
16219,118101
27132,90030
187253,22106
132264,169378
45235,10260
64944,185498
114755,115191
137381,137035
159856,41614
95393,97740
74158,101558
107156,88700
177968,156732
13727,165383
169687,87726
17278,86426
24774,146266
177833,101335
74487,66059
189722,172114
157994,39419
87388,21365
152761,173961
37074,91703
81325,171980
183102,173574
102749,33803
155986,185816
22208,81155
146518,98744
